surface_id	path	scope	source_ids	fork_behavior	upstream_change	classification	resolution	proof
infra/work-ledger/install.sh	infra/work-ledger/install.sh	fork-only	s8ff3c7c70087	session candidate: OMP-108; feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- infra/work-ledger/install.sh is empty (path byte-identical to frozen main)
infra/work-ledger/linear-import-map.json	infra/work-ledger/linear-import-map.json	fork-only	s5159e5ac3019	feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- infra/work-ledger/linear-import-map.json is empty (path byte-identical to frozen main)
package.json	package.json	shared	s2f1b44d02c8a	session candidate: OMP-47; session candidate: OMP-21; feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	upstream 18.0.6 modified this path; clean textual merge predicted	re-fitted	Union: upstream test:scripts gains scripts/ci-test-ts.test.ts, fork adds scripts/verify-upstream-handoff.test.ts; fork test:py made checkout-hermetic via uv run --project (python 3.14 host drift; see handoff); all other fork scripts retained	bun run test:scripts (gate 8, 47+ pass) and bun run test:py (gate 9: 31+69+664 passed) on the candidate
packages/ai/CHANGELOG.md	packages/ai/CHANGELOG.md	shared	sd7580da4f7ef	Merge tag 'v17.3.2'; fix(ai): accept thinking-only Gemini Cloud Code Assist responses instead of treating silence as failure (HOME-120); Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/ai/src/providers/google-gemini-cli.ts	packages/ai/src/providers/google-gemini-cli.ts	shared	sbde6d41e9f38,sfaf19f4d04e4	Merge tag 'v17.3.2'; fix(ai): accept thinking-only Gemini Cloud Code Assist responses instead of treating silence as failure (HOME-120); Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Keep fork fetchWithRetry, planning-leak stripping, and visible-content accounting; adopt upstream hasThinkingOutput/thoughtOnly semantics so a thought event commits the endpoint, skips duplicate empty retries/failover, becomes valid silence only for acceptEmptyResponse, and otherwise raises empty-output for session-level recovery.	bun test packages/ai/test/google-empty-response-retry.test.ts — 23 pass, 0 fail
packages/ai/test/context-overflow.test.ts	packages/ai/test/context-overflow.test.ts	fork-only	s359842878ff1	test: reconcile context-overflow, kitty DA1, and system-prompt-dedup tests after v17.3.2 merge; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- packages/ai/test/context-overflow.test.ts is empty (path byte-identical to frozen main)
packages/ai/test/google-empty-response-retry.test.ts	packages/ai/test/google-empty-response-retry.test.ts	shared	sdf276a239558,sebc3e5755f6c	test(ai): reconcile thinking-only silence tests with fork policy after v17.3.2 merge (HOME-123); Merge tag 'v17.3.2'; fix(ai): accept thinking-only Gemini Cloud Code Assist responses instead of treating silence as failure (HOME-120); Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Keep Bun imports and fork retry/planning-leak cases; adopt upstream one-call thought-only recovery, advisor thought-only no-failover, emitted thinking events, and AIError.Flag.EmptyResponse assertions.	bun test packages/ai/test/google-empty-response-retry.test.ts — 23 pass, 0 fail
packages/ai/test/google-gemini-cli-variant-routing.test.ts	packages/ai/test/google-gemini-cli-variant-routing.test.ts	fork-only	sa1d070ef56fb,s72e49554235d,sb3eef0ebe8b7,s28b134cce1bc,s8e569086dc7d	fix(catalog): clamp Gemini Flash minimal thinking for Cloud Code Assist; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- packages/ai/test/google-gemini-cli-variant-routing.test.ts is empty (path byte-identical to frozen main)
packages/catalog/CHANGELOG.md	packages/catalog/CHANGELOG.md	shared	sc0bf66f90063	fix(catalog): clamp Gemini Flash minimal thinking for Cloud Code Assist	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/catalog/src/model-cache.ts	packages/catalog/src/model-cache.ts	shared	s755aa9c63c59,s3e7ccf804896	fix(catalog): clamp Gemini Flash minimal thinking for Cloud Code Assist; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/catalog/src/models.json	packages/catalog/src/models.json	shared	s19ac338ea222,s033bdb164758,sa0a24d52fad2,sd7856f23fdee,s64963bcfba0f,sf7d739cd5b8e,s52411349547d,saeb2f0e5f196,sc691deaf8835,s91da56e23fce,s3e33bf08364d,s7356bce6d61f,sd78a1c7dcbc7,sf54ee3f7bf30,sd1d0c4d0f5be,sfda0d92caad7,s6145fc44e8c0,s627263a2bb44,s2f8b4df27339,s42aeaa017caa,s7f6a94d82f01,sc69cd57a6b6b,s1a7ccde98779,sa2f500abe551,sc26d8aaab8e3,scb211b618d12,s39276c6e44ac,s9791328254a2,s7dd3048e70e8,sa672125cdcb1,s7b75613522fc,s06b8c09ead77,sc4086c4ce54d,sfe9df373fa5d,sd09a4ac2632b,s62de7dd5e7f5,s75071b4230b1,s2a5d115360d7,sdecbeaedf8fd,sa434c1fcd68c,sa72b0a204a00,s329f1f431e43,sab7db6e18bbe,s795bb1a59095,s57a7a2d55152,s836c1c132cde,s2d1d51016d7b,s433eedf71762,sf67c4362a3cb,sa1e2b23db9e2,s07fcc95512f3,s7b86878ec788,s11416c12c273,s675f3e25a8ea,s7578cc4868bf,s38dd7acf88ee,sb71f514e6280,sf7a5f0c1a898,s97d8bf759ad7,saa0a6f2cc50f,s0473dc572198,sf9e135b915c1,sc80d04000d8b,s8f67d93cb84e,sfd66acd57d4c,s20778dd3b175,s8ec2c54b843c,sec461897c889,s95d4f5cf5509,sc59b1fe7c906,s476c6d6cf162,s03f68c050f4a,sa85194bb1831,sac90a632b6b6,s38d5ec3980e5,s64ff3798a5da,s921dfb414a87,s42f176561db6,s8cdf52597caa,scba1d1f5f1d3,s5a8573e6cd9e,s8fbe811fa594,s46055b49de13,s31f620081154,s503f91d70f7e,sb6c40f2e3d13,s3b22a29adf36,s9fcd5279ef27,sb41cebfacb6c,sda00dbc8e9e4,se0d4fede9d29,s74709ef5aa5f,sa6325cee5ea8,se2fb761537cf,s97c289b54071,s7294263809f5,sf1e34e157d43,s3b214f9dbf12,sacf7825a50e0,s539486d4e860,s4187484ea1e2,s701c1a408ba2,se659442ef55f,s29f4620a2339,sbe546e7a88e6,s79c5aeef9086,s6aa17d324bfe,sfea7b50abbb2,s3454bf22ec5d,se19aaa4dfe9b,s4e7cfb42e093,s3b5021f76ce7,scf33adf667a5,s149937b706f8,s92c29b209251,sb622732ad742,sd41a5b4ea825,s3f37357a6c34,s718e88c0dffa,sb31252f3eb48,s0ce8e31e8e4b,see3092f18d95,sa8217794f73a,s110d8c154ebf,s002d8e332456,s1452b4948a84,s73d825db8ff4,s2b5b0f3577d5,s7c052de51095,sa2617ed814e8,s15be1a5769ff,s452463388a8b,s3f45f45f8ba8,sa21f1840f869,sb49787d1b500,sc3413a550166,sdae893153bb3,sf417a381db37,s1d3a79da069d,sbb42af5b097a,sdcad964e32a6,s583a599a14df,s35c0a2121412,s0168b3807439,sec880dbc2f5b,s68752f23a44d,s82221d351926,sf4571a51f6e1,s233d1595a8d9,saf71b92ec321,s13fb2b3218e0,s48fae2992edc,sc38de8a01a6b,s5c6370411cfa,s2e9e90550aa6,s85819cf5ed2c,sdc370322ee4b,sa7481471ed26,s70529d94f78f,s66473538f616,s24ace739e21d,s66e4ffb9c693,s5ede20ec6c90,s3905cc4ce392,sef42590f5160,s00f957a7adef,s34124cf1f178,sc0fb70169c3f,s7cee0b8c0691,s9c0cd3b5dead,s452e0f59ca23,s9b7515c8d9ff,sa0206dc81774,s4701db25d7be,s56dac37dc75b,sfa02d4ecc78e,s2fde161e94a1,sfccd245765f0,s42947c688980,sfb6f57349c0e,sa7e6f97da794,sb1b16cdc7f37,s9afd0a896121,scb3f9223cae5,s90828590734f,s4c2e2f2da620,s78623e9dbc2f,s29f2c5919208,scc44a1068994,s0bf0e37fffdb,s7ed94c154152,sdb8872a54135,s4b7cb82070b6,s053ff662eefc,s26797175335d,s31fde42df33f,s39c38f56bf87,sf6d480990a89,s0bdc5bd737c4,s561ab34859b7,s8390a28bfdfe,s199351011eba,sd13b33f5a5d9,sa34e532299a2,sa160988ef5c9,s251a02347cb2,s821f84e3153b,s8259ad7f4a05,s3e3dd261d97f,s8fbfa6e1c329,s88f72af35cc6,s19f88a1d7c66,sc47ab48a6075,s6ea7b02ce9ed,s4d2dfc41e00c,s9828c978b47b,s81dcb39c2517,s337dbf4da199,s587915f3fd51,s70134e85fae8,sf95d2326a0fa,s6b899100f243,sb142f647b3c8,sc0bfc5140d0a,s373c16e487d2,s91e43f0e21b1,s3922f7427fbb,s32763f34e736,s5d9839aa0fbd,scb3893d8470b,s6467516d035a,s62dbc1b74b05,s164408ed52ed,s76ac47791d32,s67ec247b0c59,sa9f6ed2fff0a,sfadaca891b9f,se63d4b7165b0,s22d070d2efc9,s17db956acb79,s063c1fcceb1f,s62700ce5f91a,s2a5ea79cf27c,s4a9fb9dbd7ef,sa6f21c65c9ed,s13ca866714aa,s1aee81c25389,s257711811673,s05688a600616,s952b3bf7d90c,s1041d15a9e6d,sb2d5d6c0c2cb,sa4d3dc086a5e,sec9bac50d073,s1ab2a999b81c,s75dc7445b24d,s111688bd424d,s5c518128e5dd,sfb0c5f13a5fa,sd750e221d580,s0d67f2e4478c,s61296af696ef,s42aef98ef121,s3ee607223e39,scb259d3e9648,sf692463ad2fd,sca4ff760b670,sa9cda5673130,sfd8e308d0d89,sd0608d3ab4bb,s57ebf448ab59,sad1946b281d6,sff1980b9a1f8,s0efd47698553,s37cf8d66ef9e,s113e9575b5d7,scf2caddb030c,s3a3807b311f7,s6bb6dfc7fca9,sf2567ede65f7,s8dd940ce03b6,s503edfca2e16,s0add950c6a06,sd677475c842c,sbde9d67c7f95,s169f3a03b542,s48518c53ea67,sd48f9336646f,sc2295131dc76,sd4c0209fbade,sadfc77c49550,s34e3a306b294,sfed215dfcb74,s0378f8e3d77a,s948b6a231350,se3cf1a0b8b90,sbae983271122,sbf73e3459ef8,sff76322ca03d,s912e31a14998,s15606b9aedd9,s53526404296b,s5f1cffa31c6d,s275696549601,se7a1448529fd,saaa9c964d62f,se3307dab92e7,sd4e82b2a5a10,s1cd6332134a3,sb6a94bf07ba8,s88b2c48829cf,s998c733b1be9,sc24cd654db43,s458fc1f7f44e,sb986c77216c4,sa1ffa1f36308,s6f8c286eff37,s5e9e0de1e196,sf933f64128b9,s281324ed9a72,s1d89687f1f84,s2efc0d428ac0,s33694a7cd717,sa2a2875d5984,s07eb2da9f8a2,sead0d6332662,sa0740a12ec07,s3cbe21716f52,sb29a3017ac54,scb1ffb53dabf,s3f8de716ba1e,sa13422f6c8d3,s1be6ae8e7b3e,s18b73c67b261,sd090833ab5f7,s789c3b1dc862,s8f0d71eda2cc,s755b70f0f68d,s6b971deb6eee,sfe68a4760527,s0dee66285de1,sac5575c60617,s706b9c2ec77a,s1af2f5b01ae7,sc8cbaed8c532,sce3820d7d69b,s3248061e36a3,sfa5a0adc245b,sb3d6584c7c7c,sc9230b513d1a,sa6225b9f1470,se5f18ff17236,s4b42fa98a4a9,sea4990eb031b,s05202090b89a,s86432d3225e9,saf57b9e2c26d,s656bc89d04bd	fix(catalog): clamp Gemini Flash minimal thinking for Cloud Code Assist	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Never hand-resolve; merge provider/catalog sources, run generator, and accept generated output only.	bun run gen:models && git diff --exit-code -- packages/catalog/src/models.json — fixpoint at a864f00dae (generated output committed verbatim; generator merges live provider discovery)
packages/catalog/src/variant-collapse.ts	packages/catalog/src/variant-collapse.ts	shared	s87ace149ee96,s020af7de1d94,sadfec7866eff,s54d30b175b5d	fix(catalog): clamp Gemini Flash minimal thinking for Cloud Code Assist	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/catalog/test/build.test.ts	packages/catalog/test/build.test.ts	shared	s540edbb6afaa,sf992ba40553a,s802d47501a76,s236b3833daa3,s6c9e6c4ff7df,s55dfe33d06e3,sc1e6a0239445,s2ca9dda7ac55	fix(catalog): clamp Gemini Flash minimal thinking for Cloud Code Assist; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	bun test packages/catalog/test/build.test.ts green inside gate 7 (bun run test:ts) on the candidate
packages/catalog/test/variant-collapse.test.ts	packages/catalog/test/variant-collapse.test.ts	shared	s6aed117ea033,sc92f45e9a109,s8aeaff183f88,s3741a361db9d	fix(catalog): clamp Gemini Flash minimal thinking for Cloud Code Assist	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Keep fork Antigravity Gemini 3.7, Devin GLM-5.2, alias, discovery, and effort-routing cases; add upstream CURSOR_VARIANT_COLLAPSE_TABLE, dynamic Cursor Grok tier families/aliases, defaultSupportedEffort, and revised Antigravity-before-CCA provisioning cases.	bun test packages/catalog/test/variant-collapse.test.ts — 58 pass, 0 fail
packages/coding-agent/CHANGELOG.md	packages/coding-agent/CHANGELOG.md	shared	s43108a1d45c9	session candidate: OMP-108; session candidate: OMP-89; feat(coding-agent): inline setStatus placement beside path segment (HOME-130); feat(coding-agent): cancellable plan_approved extension event (HOME-122); Merge tag 'v17.3.2'; feat(coding-agent): expose taskDepth on ExtensionContext to distinguish main session from subagents (HOME-120); Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/advisor/advise-tool.ts	packages/coding-agent/src/advisor/advise-tool.ts	shared	s67c03e2e13cb,s439c8a5d4874,s08be7000ee7f,sdce212ac9095,s8f5cfcbfcd89,s7dbd89d6641e,s941f538a8a2c,s806d3960cbd1,se2b7d26888cf,s9000f5477ae3,s8040cafc49f6,sfea63872491d,sba5c69e54d8d	session candidate: OMP-47; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Adopt upstream deferred-note queue/flush, duplicate escalation, and blocker steering during interrupt-immune turns; retain @oh-my-pi/omptype, required OMP-55 category, severity-rank dedupe, delivery-channel routing, and kCursorExecResolved quarantine.	bun test packages/coding-agent/test/advisor/advisor.test.ts + agent-session-*/acp glob — 988 pass, 0 fail (category carried through deferred queue/flush/#deliver)
packages/coding-agent/src/advisor/runtime.ts	packages/coding-agent/src/advisor/runtime.ts	shared	s29ffb58e1b9d,s99322529d30d,sb6b8fb2cf8c4,s8a9fdadf4fae	session candidate: OMP-127; session candidate: OMP-107; session candidate: OMP-47; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/extensibility/extensions/loader.ts	packages/coding-agent/src/extensibility/extensions/loader.ts	shared	sd18e7c9de3aa,s417f0f713c87,s3b44d4350014	session candidate: OMP-47; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/extensibility/extensions/runner.ts	packages/coding-agent/src/extensibility/extensions/runner.ts	shared	sf08b0ed44d04,s1ce39db0f164,s5afde45faabb,sf2b7e512436a,s5136863e8e0d,s4b3c3dd81b34,sfa61e024a82d,sac156414c765,s53661e8fc06e,s7856fe05ffbd	session candidate: OMP-108; session candidate: OMP-47; feat(coding-agent): cancellable plan_approved extension event (HOME-122); Merge tag 'v17.3.2'; feat(coding-agent): expose taskDepth on ExtensionContext to distinguish main session from subagents (HOME-120); Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/extensibility/extensions/types.ts	packages/coding-agent/src/extensibility/extensions/types.ts	shared	sbc2e2166bcef,sb0db56f5a51e,s764769e78007,s7c6f2c79d267,s97086b569999,se7766def9dc5,s1e0988835d9f,s0448c408acbb,s0cbcda36b673,sd0ecdb353321,s37916b609772,s4139e8fcd8e0,sae56b737e3ea	session candidate: OMP-108; session candidate: OMP-107; session candidate: OMP-47; feat(coding-agent): inline setStatus placement beside path segment (HOME-130); feat(coding-agent): cancellable plan_approved extension event (HOME-122); Merge tag 'v17.3.2'; feat(coding-agent): expose taskDepth on ExtensionContext to distinguish main session from subagents (HOME-120); Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/extensibility/plugins/legacy-pi-compat.ts	packages/coding-agent/src/extensibility/plugins/legacy-pi-compat.ts	shared	sffe3ae6c1f59,s60ce7c326385,s06c5e46ed427	session candidate: OMP-89; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Adopt upstream SQLite parse cache (getLegacyPiExtensionCacheDbPath), cached source analysis, package-import exclusion sentinel/path validation, and export-condition fixes; retain astHasCommonJsModuleScope, omp-legacy-pi-bundled:, Bun createRequire rewriting, compiled self-package roots, and fork compatibility exports.	bun test packages/coding-agent/test/extensibility/legacy-pi-cjs-classification.test.ts — 7 pass incl. new defineProperty-only fixture; detector union (upstream scoped scan + fork astHasCommonJsModuleScope)
packages/coding-agent/src/index.ts	packages/coding-agent/src/index.ts	fork-only	sa6b53a2af1d4,s7e59981b7817	session candidate: OMP-107; session candidate: OMP-69; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- packages/coding-agent/src/index.ts is empty (path byte-identical to frozen main)
packages/coding-agent/src/modes/acp/acp-agent.ts	packages/coding-agent/src/modes/acp/acp-agent.ts	shared	s8a59e80f14ec,se5eefcabc65f	session candidate: OMP-47; feat(coding-agent): cancellable plan_approved extension event (HOME-122)	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/modes/components/status-line/component.ts	packages/coding-agent/src/modes/components/status-line/component.ts	shared	s7ce904ff41d1,s6c77f22d5881,s27fd6daca597,saaf7cbe3af4f,sf06654a44f7f,s2caf3c59ec37,sad4de187cbb1	feat(coding-agent): inline setStatus placement beside path segment (HOME-130)	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Keep fork StatusLineComponent — never import upstream FooterDataProvider; integrate upstream composer styles, usage-window filtering, compaction boundaries/context line, standalone layouts, autocomplete/speculation indicators, quota/token metrics, and render revisions while preserving inline extension slots, VCS cache, loader lifecycle, context cache, and active-time meter.	bun test status-line-overflow + context-consolidation + guest-idle-reconciler — 41 pass, 0 fail (box-gauge exact-fit off-by-one fixed; no FooterDataProvider import; StatusLineComponent retained)
packages/coding-agent/src/modes/controllers/extension-ui-controller.ts	packages/coding-agent/src/modes/controllers/extension-ui-controller.ts	shared	s8e6dc35535bb,seaf206db9bca,s0bab83f3cbdd,s8e2d90e388f7,s0d35e5d796d9,s79eca500d2bf	session candidate: OMP-47; feat(coding-agent): inline setStatus placement beside path segment (HOME-130)	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/modes/interactive-mode.ts	packages/coding-agent/src/modes/interactive-mode.ts	shared	sf9bb09de6b41	feat(coding-agent): cancellable plan_approved extension event (HOME-122)	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/modes/runtime-init.ts	packages/coding-agent/src/modes/runtime-init.ts	fork-only	s05f22416d996	session candidate: OMP-47	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- packages/coding-agent/src/modes/runtime-init.ts is empty (path byte-identical to frozen main)
packages/coding-agent/src/prompts/advisor/system.md	packages/coding-agent/src/prompts/advisor/system.md	shared	s5dbdc77f4aa0,s8b8d036b4f5c	session candidate: OMP-47; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/sdk.ts	packages/coding-agent/src/sdk.ts	shared	s3781f6424021	feat(coding-agent): expose taskDepth on ExtensionContext to distinguish main session from subagents (HOME-120); Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/session/agent-session.ts	packages/coding-agent/src/session/agent-session.ts	shared	sf3e4b2eba057,s09fc39fd6615,sc18bb0b2b6a6,sf661a65e284f,s005893e7e180,s2e7213263900,s2ceaf26c3bf4,sc4313fadcb6d,s3fed5f1a8bc7,sbbfdee0a568e,s3c360de0a3f6,s2ca73eaeb4c9	session candidate: OMP-107; style(session): fix biome format drift in agent-session.ts (introduced by 43f7536fda); fix(session): restore drained nextTurn batch on post-splice generation bails (OMP-71); session candidate: OMP-69; session candidate: OMP-47; Merge tag 'v17.3.2'; feat(coding-agent): expose taskDepth on ExtensionContext to distinguish main session from subagents (HOME-120); Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Re-fit all upstream session-loop additions — provider response metadata, preferred dialect, capability reset, code/extended-context listeners, checkpoint notice, image entries, and resume command — into fork AgentSession; retain taskDepth, cancellable plan_approved, setSessionName precedence, SQLite multi-credential auth, ToolSession/BUILTIN_TOOLS, Bun runtime, and persistence API. Use LSP references for every moved signature and migrate all callers.	bun test packages/coding-agent/test/agent-session-*.test.ts packages/coding-agent/test/acp-agent.test.ts — 988 pass combined run, 0 fail; taskDepth + restoreDrainedNextTurn retained, upstream prompt-dropped boolean contract adopted
packages/coding-agent/src/session/extension-delivery.ts	packages/coding-agent/src/session/extension-delivery.ts	fork-only	s868e1e810438	session candidate: OMP-107; session candidate: OMP-47	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- packages/coding-agent/src/session/extension-delivery.ts is empty (path byte-identical to frozen main)
packages/coding-agent/src/session/session-advisors.ts	packages/coding-agent/src/session/session-advisors.ts	shared	s7e17c14d2a4b,sc4ec47c2f48c,s1c40c9a0f912,s28907831a2aa,s8ef8275b90d9,s674e11ec8200,s26584a825b26,s65d0dbfc873a,sc045dbebbe28,s2bfbf3b6182d,sd00ab95e59bd,sbecde85afb81,s197a77c114d0,s1170705a996a,scea31122bb54,sfd0326fee3d1	session candidate: OMP-47; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Integrate upstream Tokenizer/estimateTranscriptTokens, AdvisorLoopGuard, transactional recorder turns, chained retry fallbacks, text-ambiguous overflow handling, compaction method order, terminal-yield advice preservation, subscription detection, and resume-cost barrier; retain fork SessionAdvisorsHost, YieldQueue, SecretObfuscator, channel routing, and auto-resume suppression.	bun test agent-session-advisor-suppression (17 pass) + agent-session-message-pipeline + agent-session-retry-fallback (102 pass) — 0 fail; category routing + Tokenizer maintenance combined
packages/coding-agent/src/task/executor.ts	packages/coding-agent/src/task/executor.ts	shared	s040b2f1f4da6	session candidate: OMP-47	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/src/utils/git.ts	packages/coding-agent/src/utils/git.ts	shared	s52b86003763c,s93bc57febe92	session candidate: OMP-127	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	gates 4 (bun run check:ts) and 7 (bun run test:ts) green on the candidate; see handoff §Gate results
packages/coding-agent/test/acp-agent.test.ts	packages/coding-agent/test/acp-agent.test.ts	shared	sc23e219fbc37,s8b6d405d66d9,s3a874e70a4df	feat(coding-agent): cancellable plan_approved extension event (HOME-122)	upstream 18.0.6 modified this path; clean textual merge predicted	retained	clean textual merge of upstream and fork edits; fork behavior verified by candidate gates	bun test packages/coding-agent/test/acp-agent.test.ts green inside gate 7 (bun run test:ts) on the candidate
